,0,1,k,iter
0,673267.0,883727.0,0,0
1,582777.0,542670.0,1,0
2,94061.0,576129.0,2,0
3,425386.0,379634.0,3,0
4,699124.0,824089.0,4,0
5,712648.0,607541.0,5,0
6,350117.0,535859.0,6,0
7,512733.0,174091.0,7,0
8,433463.0,410297.0,8,0
9,630384.0,376295.0,9,0
10,860986.0,140320.0,10,0
11,621726.0,578003.0,11,0
12,398985.0,413427.0,12,0
13,400468.0,405703.0,13,0
14,266980.0,825990.0,14,0
0,658993.4154411765,872524.7720588235,0,1
1,580053.9611650485,550158.8349514563,1,1
2,142070.17365269462,494124.6726546906,2,1
3,379174.8484848485,324065.6515151515,3,1
4,779102.6655948553,770675.7524115755,4,1
5,847253.4365591398,580484.3182795699,5,1
6,334925.95535714284,561384.0297619047,6,1
7,419774.2567164179,167046.5134328358,7,1
8,443339.2653061224,420492.9591836735,8,1
9,696477.6613756614,370450.4567901235,9,1
10,840214.697044335,183461.97044334977,10,1
11,614220.9285714285,583974.1758241758,11,1
12,367579.937007874,422883.10236220475,12,1
13,279795.9503311258,360781.66225165565,13,1
14,324592.233281493,818625.7651632971,14,1
0,667507.6494252874,863291.2557471264,0,2
1,584411.6165413534,527557.1353383459,1,2
2,138807.65656565657,533376.9444444445,2,2
3,374883.61904761905,337122.0,3,2
4,819266.6907894737,738656.4967105263,4,2
5,858267.5561497327,552909.2967914438,5,2
6,335902.66066066065,562423.7087087088,6,2
7,418346.2462908012,167121.1290801187,7,2
8,446986.33566433564,407916.1818181818,8,2
9,713617.6720430107,361505.06451612903,9,2
10,844547.5519125683,169776.95901639343,10,2
11,619663.7384615385,586328.2256410257,11,2
12,384829.8072916667,410382.4114583333,12,2
13,177197.1580756014,337350.0378006873,13,2
14,326539.32411674346,818474.2411674347,14,2
0,669604.7718309859,862576.2957746478,0,3
1,591493.4150943396,494989.0188679245,1,3
2,139075.37391304347,557689.5449275363,2,3
3,367604.4285714286,342574.0,3,3
4,823261.2050473186,731693.3470031546,4,3
5,858814.8668555241,546138.3824362606,5,3
6,336949.12727272726,562212.8424242424,6,3
7,418371.075443787,167507.52071005918,7,3
8,471075.1553398058,400275.31067961163,8,3
9,726738.7617260788,353167.09380863036,9,3
10,848382.7871720117,162026.15451895044,10,3
11,616123.2322274882,585997.8862559241,11,3
12,389838.75416666665,411816.3625,12,3
13,169671.19941348972,343613.71554252197,13,3
14,326800.24233128835,818471.6487730062,14,3
