,Cluster,x,y
0,11,664159,550946
1,11,665845,557965
2,11,597173,575538
3,11,618600,551446
4,11,635690,608046
5,11,588100,557588
6,11,582015,546191
7,11,604678,574577
8,11,572029,518313
9,11,604737,574591
10,11,577728,587566
11,11,602013,574722
12,11,627968,574625
13,11,607269,536961
14,11,603145,574795
15,11,671919,571761
16,11,612184,570393
17,11,600032,575310
18,11,627912,593892
19,11,601967,604428
20,11,591851,569051
21,11,601444,572693
22,11,629718,558104
23,11,661430,603567
24,11,597551,556737
25,11,601182,582584
26,11,562704,570596
27,11,605107,563429
28,11,607214,575069
29,11,568824,570203
30,11,612485,518009
31,11,589244,573777
32,11,625579,551084
33,11,560237,500154
34,11,626224,569687
35,11,610666,551701
36,11,597428,569940
37,11,600582,599535
38,11,604168,555003
39,11,613871,550423
40,11,617310,551945
41,11,625728,579460
42,11,606300,566708
43,11,638559,558807
44,11,582176,630383
45,11,544056,577786
46,11,631297,578351
47,11,561574,621747
48,11,604973,574773
49,11,605284,556134
50,11,617910,592293
51,11,555904,640401
52,11,526559,509417
53,11,603849,572396
54,11,598634,619900
55,11,603359,589262
56,11,657455,567754
57,11,614279,599251
58,11,578496,631434
59,11,645171,595209
60,11,688015,533535
61,11,656477,573007
62,11,540029,563888
63,11,597418,538362
64,11,613545,574733
65,11,628696,542447
66,11,604157,574191
67,11,603126,497987
68,11,605850,533310
69,11,596179,529556
70,11,610330,552628
71,11,598184,531473
72,11,620438,511694
73,11,600202,622079
74,11,603021,577991
75,11,515612,540643
76,11,606548,574376
77,11,593490,623110
78,11,607084,595500
79,11,583728,563146
80,11,616044,533807
81,11,624452,584622
82,11,604438,574666
83,11,625709,660145
84,11,601376,579831
85,11,565148,557305
86,11,639418,537903
87,11,612799,537497
88,11,583653,652182
89,11,599808,596484
90,11,605250,573272
91,11,606738,601356
92,11,611044,571814
93,11,575440,568511
94,11,616329,529516
95,11,605927,572533
96,11,609286,586782
97,11,647354,579190
98,11,606929,571420
99,11,562920,559223
100,11,680357,620811
101,11,707100,601463
102,11,604294,574368
103,11,614917,600946
104,11,611508,503220
105,11,603789,574474
106,11,551740,588768
107,11,546031,570429
108,11,569197,559307
109,11,688712,568754
110,11,604067,574091
111,11,606809,572101
112,11,588597,622592
113,11,613840,534167
114,11,576263,547239
115,11,597077,568196
116,11,601339,571609
117,11,606011,569426
118,11,593398,559764
119,11,593166,622725
120,11,609796,532982
121,11,712648,607541
122,11,585048,505097
123,11,525967,565687
124,11,660327,585901
125,11,607604,573951
126,11,604001,573587
127,11,591484,571087
128,11,613868,585089
129,11,645464,660478
130,11,538571,654649
131,11,555429,604551
132,11,597620,586226
133,11,586097,567445
134,11,545235,539822
135,11,649088,575733
136,11,599123,616977
137,11,563763,559454
138,11,617717,613939
139,11,618869,577243
140,11,567188,560044
141,11,636628,533309
142,11,560362,567914
143,11,595014,632844
144,11,605876,550640
145,11,604352,573425
146,11,600679,599545
147,11,596891,579476
148,11,614943,540976
149,11,604415,571400
150,11,603698,573585
151,11,658199,568743
152,11,598759,582942
153,11,671269,590258
154,11,593317,534085
155,1,657985,453405
156,11,608557,590278
157,11,623004,508050
158,11,601900,569391
159,11,641031,593074
160,11,589658,640498
161,11,567565,573952
162,11,559078,570088
163,11,639431,588155
164,11,566609,537592
165,11,568570,579335
166,11,660650,615038
167,11,667639,571164
168,11,596796,529933
169,11,606111,617846
170,11,616060,590779
171,11,602873,527864
172,11,571334,594145
173,11,602167,543919
174,11,605100,573307
175,11,546640,560043
176,11,585195,555011
177,11,651740,589474
178,11,589112,536573
179,11,582057,543124
180,11,690968,555952
181,11,609030,552436
182,11,632125,541413
183,11,603445,630598
184,11,628264,616214
185,11,577242,574073
186,11,604090,574392
187,11,607911,576556
188,11,600665,638890
189,11,600117,539079
190,11,631182,565466
191,11,695646,652231
192,11,619445,567491
193,11,613191,571942
194,11,567428,580005
195,11,590583,623314
196,11,606289,670243
197,11,585175,574133
198,11,634967,579020
199,11,614615,574437
200,11,593061,579188
201,11,606933,576409
202,11,606587,573873
203,11,594084,629464
204,11,683697,581516
205,11,601530,577183
206,11,603055,589818
207,11,616561,619007
208,8,607463,477085
209,11,611581,572630
210,11,579712,568354
211,11,602887,595245
212,11,600039,557139
213,11,605913,579526
214,11,579773,568698
215,11,606324,544357
216,11,605958,573728
217,11,606144,575076
218,11,667472,570571
219,11,580048,565009
220,11,597802,576113
221,11,610263,574422
222,11,603855,575180
223,11,624369,532153
224,11,599870,591110
225,11,577167,617095
226,11,658403,611332
227,8,563460,480559
228,11,610980,522819
229,11,569422,567790
230,11,627727,578737
231,11,592804,584539
232,11,540783,626497
233,11,591823,639096
234,11,637323,549567
235,11,638078,629421
236,11,611315,560757
237,11,647103,573853
238,11,522993,595581
239,11,601187,531825
240,11,533799,564377
241,11,649034,528813
242,11,620975,564344
243,11,622407,583192
244,11,597026,642918
245,11,551291,576721
246,11,608768,610525
247,11,697959,614701
248,11,658281,582264
249,11,546632,599204
250,11,672565,564468
251,11,636500,587401
252,11,696144,548705
253,11,533551,582247
254,11,526802,551524
255,11,553038,606418
256,11,696601,603624
257,11,588964,597435
258,11,716139,621721
259,11,608529,586311
260,11,557378,567033
261,11,589994,610890
262,11,589344,563119
263,11,624415,515911
264,11,565483,551512
265,11,584895,574666
266,11,582777,542670
267,11,639394,576728
268,11,608298,573748
269,11,663578,586265
270,11,628080,562986
271,11,597421,554767
272,11,595193,576508
273,11,658103,572250
274,11,659529,498474
275,11,606415,581386
276,11,641976,577433
277,11,587466,564953
278,11,589180,595099
279,11,601885,573083
280,11,580561,528916
281,11,621726,578003
282,11,558817,576255
283,11,620213,574468
284,11,594010,570095
285,11,541976,512639
286,11,593840,578685
287,11,602667,575857
288,11,631446,561156
289,11,596481,567449
290,11,611318,581584
291,11,568546,564911
292,11,593865,572987
293,11,597017,575588
294,11,578804,573582
295,11,673750,594081
296,11,592714,553958
297,11,594029,586701
298,11,668502,563937
299,11,629533,537542
300,9,801539,318482
301,9,801667,318542
302,9,814045,332998
303,9,800479,321640
304,9,757470,224976
305,9,844536,424646
306,9,797105,316002
307,9,779956,271501
308,9,797205,313318
309,9,801323,316240
310,9,783666,262902
311,9,806131,312752
312,9,830658,368694
313,9,802482,335269
314,9,801910,325434
315,9,808062,337340
316,9,789833,304422
317,9,803603,327255
318,9,800865,312968
319,9,802237,318526
320,9,803959,315173
321,9,800123,312312
322,9,780927,285057
323,9,797242,324588
324,9,801551,320544
325,9,809182,319115
326,9,801931,317202
327,5,870801,476330
328,9,820327,352701
329,9,801093,317509
330,9,798523,324500
331,9,805237,318655
332,9,803375,311620
333,9,801441,323812
334,9,797313,317527
335,9,788220,301915
336,9,790395,300024
337,9,817135,349925
338,9,797787,301470
339,9,804630,332333
340,9,808710,330379
341,9,802111,320817
342,9,796375,309563
343,9,819768,346596
344,9,814605,354382
345,9,800565,319364
346,9,802089,313456
347,9,814401,341234
348,9,796609,319691
349,9,776131,248465
350,9,803464,329093
351,9,802646,317894
352,9,809550,327365
353,9,795322,311178
354,9,830450,393096
355,9,778414,260729
356,9,800041,318331
357,9,802814,320130
358,9,802738,312234
359,9,823913,369439
360,9,803386,318982
361,9,812869,346251
362,9,798904,324420
363,9,800447,331643
364,9,807446,342555
365,9,804251,329956
366,9,797594,302109
367,9,803448,314797
368,9,765502,240340
369,9,795527,315510
370,9,794640,313497
371,9,808717,335740
372,9,790932,305223
373,9,816852,352965
374,9,826228,376658
375,9,795299,312036
376,9,808686,332209
377,9,809594,344872
378,9,799275,324108
379,5,878184,487392
380,9,798472,322218
381,9,824822,367091
382,10,746769,205186
383,10,756701,207223
384,9,795489,287279
385,9,800483,320713
386,9,783491,288029
387,9,797162,306135
388,9,800272,316170
389,9,806827,324616
390,9,802853,314938
391,9,800804,316615
392,9,813173,354777
393,9,801588,319814
394,9,797400,315778
395,9,823840,368410
396,9,811391,343836
397,9,801055,321833
398,9,804038,306622
399,9,803780,334441
400,9,834173,386159
401,9,802784,313853
402,9,807293,347456
403,9,817119,336333
404,9,786635,269352
405,9,824624,381716
406,9,797415,319840
407,9,800772,325023
408,9,806626,318966
409,9,800845,311838
410,9,769386,259892
411,9,797272,324228
412,9,807409,325526
413,9,795836,291870
414,9,798321,319665
415,9,805372,313397
416,9,790738,308028
417,9,800667,315995
418,9,795205,316433
419,9,809054,345541
420,9,808452,320117
421,9,779897,279572
422,9,782642,275308
423,9,797569,321799
424,9,801751,318110
425,9,787644,297715
426,9,807401,314610
427,9,800677,310656
428,9,800394,301473
429,9,795571,310093
430,9,814158,335578
431,9,811913,325091
432,9,806982,316680
433,9,775604,274485
434,9,800133,327081
435,9,806511,313841
436,9,803796,314893
437,9,802012,318315
438,9,826789,377676
439,9,814108,344096
440,9,804354,309671
441,9,807017,330432
442,9,803774,334756
443,9,817410,346944
444,9,841928,398948
445,9,816145,349032
446,9,818622,370753
447,9,786245,292352
448,9,784164,285702
449,9,805390,319676
450,9,790774,303642
451,9,803277,319525
452,9,833182,379714
453,9,773023,251826
454,9,801609,320399
455,9,778965,282290
456,9,814317,333112
457,9,805080,323708
458,9,801080,318049
459,9,799724,318884
460,9,798059,316113
461,9,806176,320301
462,9,769876,257669
463,9,825716,373098
464,9,791983,298565
465,9,801386,313545
466,9,804871,317801
467,9,810903,332925
468,9,838276,395673
469,9,810543,341180
470,9,777978,252419
471,9,820258,351165
472,9,801997,319385
473,9,779437,281959
474,9,810253,323873
475,9,794826,309589
476,9,814280,344223
477,9,832651,373469
478,9,794142,306704
479,9,802041,319504
480,9,804190,320706
481,9,798983,325682
482,9,840462,402858
483,9,799912,323363
484,9,804119,328544
485,9,804358,320802
486,9,803057,331037
487,9,803031,325811
488,9,784151,283760
489,9,800444,311497
490,9,802004,317772
491,9,803470,319069
492,9,811277,335577
493,9,803332,315488
494,9,800037,317963
495,9,813436,360446
496,9,800694,316789
497,9,838129,404012
498,9,764997,249477
499,9,800316,311699
500,9,806848,320541
501,9,805462,317833
502,9,798308,312788
503,9,802655,316263
504,9,801456,320080
505,9,801309,318213
506,9,840886,397888
507,9,829529,375007
508,9,830805,370801
509,9,804979,334141
510,9,804013,316083
511,9,808489,317021
512,9,770113,241615
513,9,804332,319006
514,9,833661,389733
515,9,797834,297329
516,9,794956,309980
517,9,801232,307078
518,9,809552,342258
519,9,794615,305632
520,9,809259,345634
521,9,811502,355939
522,9,801301,316893
523,9,803370,318247
524,9,804702,315881
525,9,797009,293194
526,9,813791,334609
527,9,812965,330224
528,9,826048,374236
529,9,800959,322309
530,9,803405,317316
531,9,802254,320673
532,9,783116,265635
533,9,798633,317300
534,9,801482,327644
535,9,798612,326404
536,9,799001,302014
537,9,802537,312497
538,9,799794,315080
539,9,793892,313943
540,9,804691,332987
541,9,793855,298525
542,9,796952,318633
543,9,800655,320227
544,9,801780,318992
545,9,805977,320805
546,9,796916,323332
547,9,820904,351763
548,9,808405,318841
549,9,765283,249459
550,9,824212,363776
551,9,798981,311092
552,9,797178,310439
553,9,800582,316980
554,9,803839,310353
555,9,796283,315582
556,9,801145,317601
557,9,801662,318423
558,9,801782,318281
559,9,803377,319212
560,9,803932,318781
561,9,806192,337849
562,9,789583,287700
563,9,801586,318947
564,9,804251,331304
565,9,799667,316830
566,9,759789,229116
567,9,799021,326404
568,9,793684,312065
569,9,806320,315242
570,9,786234,267976
571,9,821151,366545
572,9,801903,312794
573,9,782506,279930
574,9,803627,319323
575,9,794991,291216
576,9,794667,315069
577,9,799291,317500
578,9,798243,324160
579,9,804408,337683
580,9,818119,348676
581,9,810502,336169
582,9,793560,285392
583,9,801326,315779
584,9,808644,326320
585,9,813645,328765
586,9,800966,317165
587,9,797111,302781
588,9,802431,322048
589,9,811061,333595
590,9,786719,283364
591,9,773955,239849
592,9,803701,321815
593,9,783110,289805
594,9,800235,316652
595,9,807421,317527
596,9,797947,319734
597,9,805035,317469
598,9,801166,322298
599,9,846693,429031
600,9,801493,322249
601,9,806087,326636
602,9,810657,329468
603,9,801313,300606
604,9,800390,309948
605,9,801634,318965
606,9,799197,314215
607,9,795254,296488
608,9,807696,320548
609,9,800461,326821
610,9,801174,320442
611,9,809781,326904
612,9,826585,366934
613,9,804429,312164
614,9,788005,292268
615,9,801183,316191
616,14,378274,816341
617,14,406233,813072
618,14,401478,785370
619,14,448651,847994
620,14,434440,822866
621,14,369199,734895
622,14,413241,771595
623,14,369418,733394
624,14,378563,789670
625,14,424190,780052
626,14,415993,776671
627,14,421352,799127
628,14,432656,783776
629,14,383032,788008
630,14,414377,771258
631,14,425260,773661
632,14,469139,810971
633,14,442979,803024
634,14,347079,803582
635,14,412797,803180
636,14,352874,807952
637,14,442286,755194
638,14,416433,786159
639,14,419700,793447
640,14,422961,821595
641,14,400008,789447
642,14,429586,775621
643,14,457561,788245
644,14,415417,785827
645,14,389552,750700
646,14,415598,786499
647,14,443447,783977
648,14,404792,749210
649,14,389392,730768
650,14,473485,847098
651,14,491614,778997
652,14,437483,785130
653,14,452570,848127
654,14,417197,778243
655,14,405986,787439
656,14,437568,794323
657,14,420319,794333
658,14,418963,746595
659,14,469422,822619
660,14,397688,762902
661,14,418149,790096
662,14,407289,798870
663,14,360319,778673
664,14,473799,795167
665,14,445199,763833
666,14,446537,828924
667,14,410019,732704
668,14,396540,815936
669,14,407694,718592
670,14,417091,792545
671,14,442260,754050
672,14,411526,784658
673,14,407814,765816
674,14,394022,803914
675,14,481133,781413
676,14,396118,794614
677,14,458538,786673
678,14,419721,789724
679,14,424476,781552
680,14,377720,727349
681,14,448336,789445
682,14,412227,787450
683,14,408745,824896
684,14,417016,774869
685,14,395274,786698
686,14,412541,806622
687,14,412109,735920
688,14,407023,787385
689,14,376660,815936
690,14,396548,784388
691,0,508535,830710
692,14,414014,816460
693,14,440782,782395
694,14,436951,814456
695,14,393758,750953
696,14,418410,795929
697,14,425991,787029
698,14,414562,787355
699,14,408712,803987
700,14,377858,811790
701,14,417169,792321
702,14,460371,780609
703,14,388873,746909
704,14,395641,808571
705,14,386436,791388
706,14,440667,768761
707,14,438437,730300
708,14,370839,727884
709,14,422917,781112
710,14,391555,789079
711,14,402666,814060
712,14,474368,812039
713,14,406176,760860
714,14,463768,793154
715,14,446307,796523
716,14,402309,786873
717,14,413946,786971
718,14,425053,790566
719,14,416926,785113
720,14,424023,737453
721,14,417447,782955
722,14,415672,787824
723,14,416019,787562
724,14,417515,787648
725,14,459230,803720
726,14,447833,819282
727,14,418199,851439
728,14,417393,771537
729,14,441415,780207
730,14,399634,751940
731,14,373360,784232
732,14,419227,779215
733,14,434717,808225
734,14,397669,792218
735,14,412028,773494
736,14,407504,803363
737,14,365147,790525
738,14,459328,805961
739,14,429472,860855
740,14,480128,785580
741,14,344915,702496
742,14,410969,770451
743,14,407460,791404
744,14,420476,750495
745,14,397747,792207
746,14,408428,771823
747,14,397806,749559
748,14,426040,825049
749,14,407565,766203
750,14,414317,828815
751,14,410610,765111
752,14,412388,784064
753,14,406337,750353
754,14,422419,754048
755,14,416039,730594
756,14,414512,793966
757,14,398478,822297
758,14,424375,721868
759,14,403890,792420
760,14,400902,772920
761,14,402367,782997
762,14,472917,830363
763,14,418621,840463
764,14,329002,727685
765,14,418618,811618
766,14,425356,745471
767,14,470922,770669
768,14,400598,790903
769,14,412851,774986
770,14,492415,829655
771,14,400079,749617
772,14,417673,785965
773,14,424720,768456
774,14,386415,801444
775,14,426689,788562
776,14,430747,776261
777,14,405714,781619
778,14,429220,787348
779,14,427850,762201
780,14,434080,785264
781,14,473514,788780
782,14,412386,777312
783,14,430686,844506
784,14,409142,811927
785,14,422198,724557
786,14,392185,713763
787,14,412677,786951
788,14,399149,784376
789,14,382693,749680
790,0,527515,831478
791,14,448519,805219
792,14,430779,770145
793,14,413556,758080
794,14,392140,769924
795,14,416855,794023
796,14,389713,772742
797,14,398498,776720
798,14,473727,807244
799,14,389410,788256
800,14,377230,790154
801,14,415564,784464
802,14,456799,844976
803,14,444336,820061
804,14,404359,783919
805,14,453154,776082
806,14,425019,759577
807,14,415895,775793
808,14,420083,787815
809,0,506612,858859
810,14,436648,859634
811,14,403522,785432
812,14,401407,759648
813,14,403852,792473
814,14,367398,701756
815,14,412453,784453
816,14,382124,786262
817,14,416884,786845
818,14,448865,836781
819,14,383821,808301
820,14,414249,796590
821,14,457338,789952
822,14,396276,785999
823,14,390282,789593
824,14,409417,758123
825,14,397561,815245
826,14,397137,742547
827,14,402891,801910
828,14,385257,791581
829,14,409628,833942
830,14,369249,797068
831,14,460942,779073
832,14,423146,737571
833,14,420509,788730
834,14,422736,790806
835,14,401492,790336
836,14,394018,799506
837,14,385140,796221
838,14,430243,781020
839,14,416775,806826
840,14,425796,795608
841,14,411488,837715
842,14,433989,765343
843,14,415806,783594
844,14,417023,771194
845,14,415270,775605
846,14,391163,811977
847,14,405350,762342
848,14,414860,773921
849,14,371779,814715
850,14,415631,805010
851,14,387951,813315
852,14,472691,802678
853,14,471930,844046
854,14,432892,815223
855,14,366654,802105
856,14,411721,717873
857,14,426115,814461
858,14,375997,806621
859,14,385561,718324
860,14,375573,809249
861,14,437958,784801
862,14,363857,784086
863,14,430138,818594
864,14,435085,791564
865,14,414036,742189
866,14,425611,793420
867,14,439793,740773
868,14,467107,817914
869,14,387631,749416
870,14,430001,765803
871,14,384225,784381
872,14,417146,822655
873,14,427371,819417
874,14,399587,792459
875,14,474648,778810
876,14,345692,788190
877,14,409515,756149
878,14,469782,780552
879,14,468229,827985
880,14,414951,852935
881,14,409701,750741
882,14,442826,795974
883,14,459556,818479
884,14,423311,813081
885,14,476144,772131
886,14,391976,789416
887,14,448649,813885
888,14,496658,816784
889,14,410336,767856
890,14,430167,811490
891,14,357467,797530
892,14,404220,785798
893,14,446368,763341
894,14,439514,758221
895,14,424145,743433
896,14,470062,771204
897,14,421187,779726
898,14,396617,801039
899,14,394708,739061
900,14,394912,755947
901,14,425950,788228
902,14,408283,806161
903,14,419520,778231
904,14,441950,785934
905,14,409814,836083
906,14,395817,788858
907,14,422776,808328
908,14,363959,810632
909,14,422943,804253
910,14,407626,771304
911,14,347933,797148
912,14,457554,795861
913,14,394274,837428
914,14,445674,768552
915,14,416359,786189
916,14,419485,804779
917,14,376176,795539
918,14,349378,805118
919,14,456566,743012
920,14,484407,809641
921,14,403329,717870
922,14,392795,817694
923,14,372621,772258
924,14,461751,817277
925,14,489182,773934
926,14,427388,815258
927,14,418155,819422
928,14,437035,755506
929,14,416444,783624
930,4,777811,751059
931,4,823974,725025
932,4,749723,781756
933,4,875160,698897
934,4,828194,742074
935,4,800913,749332
936,4,831165,783383
937,4,793019,764859
938,4,810467,706465
939,4,803540,754792
940,4,844662,654835
941,4,803962,731228
942,4,823065,733789
943,4,822156,732296
944,4,811389,723618
945,4,779936,774397
946,4,854769,713941
947,4,803457,735855
948,4,790712,745884
949,4,815652,733433
